Try move in direction: Up if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge,932,1656,1488,1304,1408,1444,324,2256,644,1212,1504
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,596,1432,620,1984,2152,1148,1776,2140,2764,1476,1856
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge -> Try move in direction: Down if produces a left merge,1424,1372,1884,1516,1072,1356,448,1412,1508,2124,740
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,1552,1628,1536,1680,1204,1816,820,1568,1452,2684,2428
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Up if produces a left merge,1448,1544,2620,1164,1580,720,1360,684,1292,2516,2084
Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,1232,1644,752,1216,1004,976,2400,508,916,1436,1564
Ban move in direction: Up if left column locked -> Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Try move in direction: Up if produces a left merge,2616,2284,1180,668,1484,1548,1532,1068,1280,2128,2524
Try move in direction: Right if produces a left merge -> Try move in direction: Down if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,2456,800,1332,1712,1664,2604,1360,1596,1600,1392,1276
Try move in direction: Down if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Up if produces a left merge,784,1584,1416,2540,648,684,1236,2568,1360,3100,2064
Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,3612,1448,668,924,6664,4152,3352,2268,1456,1992,3908
Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked,476,2096,772,588,1184,928,1316,768,872,1420,1840
Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge,3448,2892,1424,1516,2492,4332,2888,1864,1556,1868,1516
Try move in direction: Left if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge,1752,2544,1992,2680,4296,1900,928,1516,1100,3456,3464
Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked -> Try move in direction: Left if produces a left merge,2476,2520,1388,1380,1688,1132,1008,1624,1264,2688,1464
Ban move in direction: Up if left column locked -> Try move in direction: Right if produces a left merge -> Try move in direction: Left if produces a left merge,1248,2496,1208,1800,1516,1216,864,1308,1576,2572,2320
Try move in direction: Up if produces a left merge -> Try move in direction: Left if produces a left merge -> Try move in direction: Right if produces a left merge -> Ban move in direction: Up if left column locked,5444,908,5440,7484,5740,1980,1660,1876,3568,2796,4088
